runtime,RP_error,entropy,met,the number of candidates
0.03809333,0.103156425,4.7826467,1.5 * log n,5.0
0.032411575,0.029223261,4.7683525,1.5 * log n ** 3,5.0
0.03275466,1.0827893e-08,4.766301,n(n-1)/2,5.0
0.031235933,0.15022537,4.7838864,1.5 * log n,5.0
0.026823044,0.07515715,4.770054,1.5 * log n ** 3,5.0
0.034069538,1.647358e-08,4.7618074,n(n-1)/2,5.0
0.03267026,0.08476265,4.7825885,1.5 * log n,5.0
0.032970667,0.07507862,4.7779894,1.5 * log n ** 3,5.0
0.039713144,8.7722425e-09,4.768304,n(n-1)/2,5.0
0.032958984,0.24191938,4.7767167,1.5 * log n,5.0
0.046479225,0.12558033,4.733259,1.5 * log n ** 3,5.0
0.035758972,2.9658242e-08,4.7083635,n(n-1)/2,5.0
0.02651143,0.14565292,4.787085,1.5 * log n,5.0
0.03457451,0.0760146,4.7727056,1.5 * log n ** 3,5.0
0.031122684,1.836127e-08,4.758385,n(n-1)/2,5.0
0.03161621,0.067391165,4.780049,1.5 * log n,5.0
0.052493334,0.037026968,4.7720485,1.5 * log n ** 3,5.0
0.041387558,8.177653e-09,4.7693048,n(n-1)/2,5.0
0.033326626,0.04512291,4.786073,1.5 * log n,5.0
0.031529665,0.03246232,4.784682,1.5 * log n ** 3,5.0
0.024173975,2.363392e-08,4.7830906,n(n-1)/2,5.0
0.03140807,0.07767604,4.7861447,1.5 * log n,5.0
0.030830383,0.020220835,4.77867,1.5 * log n ** 3,5.0
0.025749207,3.468082e-08,4.7775197,n(n-1)/2,5.0
0.051585674,0.10192112,6.5760627,1.5 * log n,6.0
0.09356761,0.10334164,6.572473,1.5 * log n ** 3,6.0
0.07084751,9.183616e-09,6.5538607,n(n-1)/2,6.0
0.061867,0.0825794,6.57878,1.5 * log n,6.0
0.06349063,0.03567306,6.575087,1.5 * log n ** 3,6.0
0.079526186,4.2262553e-08,6.57233,n(n-1)/2,6.0
0.09425807,0.15141755,6.5755663,1.5 * log n,6.0
0.09066248,0.11138298,6.5549507,1.5 * log n ** 3,6.0
0.07532787,3.413229e-08,6.5316396,n(n-1)/2,6.0
0.055375576,0.07299121,6.5766554,1.5 * log n,6.0
0.08621693,0.03588778,6.570925,1.5 * log n ** 3,6.0
0.07348561,5.3010584e-08,6.5691805,n(n-1)/2,6.0
0.08075786,0.14741293,6.577268,1.5 * log n,6.0
0.08152747,0.11472254,6.5486207,1.5 * log n ** 3,6.0
0.091101885,7.0679505e-08,6.5299892,n(n-1)/2,6.0
0.077305555,0.19822077,6.5763063,1.5 * log n,6.0
0.08565593,0.1332902,6.57321,1.5 * log n ** 3,6.0
0.067845106,7.685413e-08,6.5386457,n(n-1)/2,6.0
0.05844903,0.103951916,6.578347,1.5 * log n,6.0
0.099122524,0.093362495,6.5733547,1.5 * log n ** 3,6.0
0.065323114,6.493777e-08,6.5599504,n(n-1)/2,6.0
0.07152367,0.07945822,6.578672,1.5 * log n,6.0
0.079473495,0.07159187,6.57576,1.5 * log n ** 3,6.0
0.07831335,3.995661e-08,6.572765,n(n-1)/2,6.0
0.3546617,0.09945027,8.522499,1.5 * log n,7.0
0.42300153,0.094432734,8.520384,1.5 * log n ** 3,7.0
0.4222722,7.158868e-08,8.505963,n(n-1)/2,7.0
0.37656617,0.0944568,8.524151,1.5 * log n,7.0
0.43545294,0.07408636,8.519426,1.5 * log n ** 3,7.0
0.43886542,8.0244455e-08,8.505791,n(n-1)/2,7.0
0.3286171,0.10524532,8.525053,1.5 * log n,7.0
0.45973182,0.07072362,8.513646,1.5 * log n ** 3,7.0
0.42295218,8.0196266e-08,8.502501,n(n-1)/2,7.0
0.37051654,0.07858304,8.524921,1.5 * log n,7.0
0.5845828,0.040022247,8.521845,1.5 * log n ** 3,7.0
0.43377256,2.7687708e-08,8.5186205,n(n-1)/2,7.0
0.30711818,0.12454812,8.524756,1.5 * log n,7.0
0.4345734,0.06476497,8.518217,1.5 * log n ** 3,7.0
0.43360496,7.381949e-08,8.511005,n(n-1)/2,7.0
0.3514974,0.022493647,8.5251465,1.5 * log n,7.0
0.42472434,0.013476267,8.524749,1.5 * log n ** 3,7.0
0.4148686,4.1488192e-08,8.524389,n(n-1)/2,7.0
0.37817693,0.13449678,8.524811,1.5 * log n,7.0
0.42439532,0.10623044,8.5164585,1.5 * log n ** 3,7.0
0.42595887,8.3433676e-08,8.49044,n(n-1)/2,7.0
0.35186458,0.14491268,8.524207,1.5 * log n,7.0
0.41792154,0.10961745,8.509842,1.5 * log n ** 3,7.0
0.4376073,1.0425877e-07,8.488779,n(n-1)/2,7.0
2.5918574,0.111087024,10.604362,1.5 * log n,8.0
3.393101,0.08666075,10.598831,1.5 * log n ** 3,8.0
4.5850997,6.464676e-08,10.584239,n(n-1)/2,8.0
2.7452085,0.11098768,10.6027155,1.5 * log n,8.0
3.5122828,0.09528603,10.596348,1.5 * log n ** 3,8.0
4.812972,8.14211e-08,10.579614,n(n-1)/2,8.0
2.6043153,0.08189704,10.603445,1.5 * log n,8.0
3.4058614,0.06877581,10.596909,1.5 * log n ** 3,8.0
4.646927,1.5898321e-07,10.586482,n(n-1)/2,8.0
2.5846374,0.029410066,10.604593,1.5 * log n,8.0
3.1388025,0.023333706,10.603992,1.5 * log n ** 3,8.0
4.592986,1.1938715e-07,10.603002,n(n-1)/2,8.0
2.8767815,0.08981249,10.601568,1.5 * log n,8.0
3.40553,0.07766857,10.596645,1.5 * log n ** 3,8.0
4.7346587,2.622719e-08,10.583754,n(n-1)/2,8.0
2.507773,0.0955241,10.60339,1.5 * log n,8.0
3.3696184,0.065199785,10.598685,1.5 * log n ** 3,8.0
4.504468,3.4945547e-08,10.590158,n(n-1)/2,8.0
2.5790653,0.013698951,10.60458,1.5 * log n,8.0
3.2253094,0.010288261,10.604528,1.5 * log n ** 3,8.0
4.126007,6.9631284e-08,10.604337,n(n-1)/2,8.0
2.7280223,0.08762436,10.601216,1.5 * log n,8.0
3.4530647,0.08410244,10.598285,1.5 * log n ** 3,8.0
4.2714524,1.05374355e-07,10.587308,n(n-1)/2,8.0
,,,,
,,,,
,,,,
,,,,
