runtime,RP_error,entropy,met,n,m_divider
0.0,0.0,0.898383,RD,5.0,0.0
0.042031765,5.8345173e-10,0.997911,original,5.0,1.0
0.031450033,5.9559946e-10,0.9803682,relax,5.0,0.3
0.036906958,8.04839e-10,0.98534995,relax,5.0,0.4
0.03291869,2.4927997e-09,0.98828197,relax,5.0,0.5
0.0,0.0,1.0322281,RD,6.0,0.0
0.1406486,6.3213816e-09,1.3007461,original,6.0,1.0
0.065018415,4.2187506e-10,1.2301574,relax,6.0,0.3
0.06399274,3.1332925e-09,1.2505246,relax,6.0,0.4
0.056662083,2.0298305e-09,1.2660296,relax,6.0,0.5
0.0,0.0,0.9338233,RD,7.0,0.0
1.2436461,7.3658235e-10,1.2813388,original,7.0,1.0
0.24544859,2.2427625e-10,1.1923028,relax,7.0,0.3
0.40712953,2.0914463e-10,1.2182399,relax,7.0,0.4
0.5238738,4.275708e-09,1.2310895,relax,7.0,0.5
0.0,0.0,1.0440727,RD,8.0,0.0
15.9202795,4.413841e-09,1.3409976,original,8.0,1.0
3.1217625,4.3513035e-10,1.2783991,relax,8.0,0.3
6.367736,4.4160017e-10,1.2843243,relax,8.0,0.4
6.903883,5.2522564e-09,1.2965299,relax,8.0,0.5
0.0,0.0,1.0685188,RD,5.0,0.0
0.047828674,7.0371007e-09,1.1376632,original,5.0,1.0
0.039854527,3.3484476e-10,1.128856,relax,5.0,0.3
0.04184079,9.3019675e-10,1.1303041,relax,5.0,0.4
0.04288459,1.4247447e-09,1.132718,relax,5.0,0.5
0.0,0.0,0.9488033,RD,6.0,0.0
0.15757513,6.9427025e-10,1.1089804,original,6.0,1.0
0.059839964,6.52324e-10,1.0857545,relax,6.0,0.3
0.07679582,1.1624638e-09,1.09387,relax,6.0,0.4
0.08172965,4.2437548e-10,1.0995554,relax,6.0,0.5
0.0,0.0,1.67028,RD,7.0,0.0
1.0568864,3.9581358e-10,2.180676,original,7.0,1.0
0.2576275,7.245951e-10,2.066087,relax,7.0,0.3
0.42813563,4.7539266e-09,2.0901206,relax,7.0,0.4
0.4323957,1.4276944e-09,2.1021538,relax,7.0,0.5
0.0,0.0,1.5060016,RD,8.0,0.0
19.159868,3.6752172e-09,1.9049101,original,8.0,1.0
3.289602,2.396871e-09,1.8231812,relax,8.0,0.3
4.5328164,1.0149558e-09,1.8326741,relax,8.0,0.4
6.6620183,1.4242366e-09,1.8500574,relax,8.0,0.5
0.0,0.0,0.9407917,RD,5.0,0.0
0.046872616,2.9075968e-09,0.98252994,original,5.0,1.0
0.030797958,1.0976733e-09,0.97550553,relax,5.0,0.3
0.03521633,1.3122904e-09,0.9773628,relax,5.0,0.4
0.03195834,1.727011e-09,0.9785088,relax,5.0,0.5
0.0,0.0,1.2958243,RD,6.0,0.0
0.12959766,4.295839e-09,1.3612726,original,6.0,1.0
0.067124605,5.962415e-10,1.3341736,relax,6.0,0.3
0.0757997,4.3910034e-10,1.3368225,relax,6.0,0.4
0.07784057,3.2183993e-09,1.3387592,relax,6.0,0.5
0.0,0.0,1.2585334,RD,7.0,0.0
0.8665383,2.8721923e-09,1.6408716,original,7.0,1.0
0.24529743,7.5648077e-10,1.5418332,relax,7.0,0.3
0.40217233,1.7879079e-10,1.571042,relax,7.0,0.4
0.47630286,2.2414255e-09,1.5842838,relax,7.0,0.5
0.0,0.0,0.7660254,RD,8.0,0.0
28.27992,2.9815594e-09,1.0098153,original,8.0,1.0
4.5354652,1.8444204e-09,0.96902823,relax,8.0,0.3
1.933238,1.4787344e-09,0.97404146,relax,8.0,0.4
2.5176075,1.6989905e-09,0.9854913,relax,8.0,0.5
